636016288>_<1548979205,20939,18,583509,18,-125.14804,48.39767,1548980564,-125.15131,48.3949,1548980635
636016288>_<1548979205,20939,19,583509,19,-125.15131,48.3949,1548980635,-125.15439,48.39224,1548980704
636016288>_<1548979205,20939,20,583509,20,-125.15439,48.39224,1548980704,-125.15998,48.38753,1548980825
636016288>_<1548979205,20939,21,583509,21,-125.15998,48.38753,1548980825,-125.16431,48.38408,1548980915
636016288>_<1548979205,20939,22,583509,22,-125.16431,48.38408,1548980915,-125.16847,48.38053,1548981005
636016288>_<1548979205,20939,23,583509,23,-125.16847,48.38053,1548981005,-125.17206,48.37786,1548981076
636016288>_<1548979205,20939,24,583509,24,-125.17206,48.37786,1548981076,-125.17556,48.37521,1548981145
636016288>_<1548979205,20939,25,583509,25,-125.17556,48.37521,1548981145,-125.17948,48.37224,1548981226
636016288>_<1548979205,20939,26,583509,26,-125.17948,48.37224,1548981226,-125.18701,48.36657,1548981374
636016288>_<1548979205,20939,27,583509,27,-125.18701,48.36657,1548981374,-125.1928,48.36205,1548981494
636016288>_<1548979205,20939,28,583509,28,-125.1928,48.36205,1548981494,-125.19922,48.35712,1548981625
636016288>_<1548979205,20939,29,583509,29,-125.19922,48.35712,1548981625,-125.20355,48.35377,1548981714
636016288>_<1548979205,20939,30,583509,30,-125.20355,48.35377,1548981714,-125.20941,48.34924,1548981834
636016288>_<1548979205,20939,31,583509,31,-125.20941,48.34924,1548981834,-125.21674,48.34351,1548981984
636016288>_<1548979205,20939,32,583509,32,-125.21674,48.34351,1548981984,-125.22028,48.34079,1548982056
636016288>_<1548979205,20939,33,583509,33,-125.22028,48.34079,1548982056,-125.22856,48.33436,1548982225
636016288>_<1548979205,20939,34,583509,34,-125.22856,48.33436,1548982225,-125.23743,48.32746,1548982405
636016288>_<1548979205,20939,35,583509,35,-125.23743,48.32746,1548982405,-125.24185,48.32397,1548982495
636016288>_<1548979205,20939,36,583509,36,-125.24185,48.32397,1548982495,-125.2453,48.3213,1548982566
636016288>_<1548979205,20939,37,583509,37,-125.2453,48.3213,1548982566,-125.24872,48.31869,1548982635
636016288>_<1548979205,20939,38,583509,38,-125.24872,48.31869,1548982635,-125.25226,48.31601,1548982705
636016288>_<1548979205,20939,39,583509,39,-125.25226,48.31601,1548982705,-125.25569,48.31334,1548982776
