3881,1
3872,1
3836,1
3590,1
3571,1
3120,1
2935,1
2739,1
2679,1
2653,1
2636,1
2546,1
2522,1
2516,1
2499,1
2461,1
2457,1
2419,1
2401,1
2324,2
2251,1
2244,1
2224,1
2210,1
2198,1
2195,1
2184,1
2175,1
2172,1
2165,1
2143,1
2141,1
2134,1
2098,1
2097,1
2096,1
2092,1
2081,1
2076,1
2063,1
2054,1
2052,1
2017,1
2016,1
1996,1
1986,1
1980,1
1965,1
1959,1
1948,1
1935,1
1914,1
1912,1
1899,1
1890,1
1884,1
1857,1
1851,2
1845,1
1841,1
1839,1
1837,2
1836,1
1832,1
1824,1
1810,1
1805,1
1794,1
1788,2
1775,1
1773,1
1772,1
1771,1
1770,2
1765,1
1745,1
1742,1
1730,1
1725,2
1723,1
1718,1
1704,1
1697,1
1695,1
1688,1
1687,1
1682,1
1676,1
1673,1
1670,1
1666,1
1663,1
1644,1
1632,1
1613,1
1602,1
1600,1
1593,1
1590,1
1588,1
1585,1
1584,1
1580,2
1567,1
1563,1
1561,1
1553,1
1551,1
1542,1
1541,1
1533,1
1526,1
1525,1
1521,1
1519,1
1516,1
1507,1
1504,1
1501,1
1491,1
1484,1
1471,1
1469,1
1465,1
1462,1
1459,2
1446,1
1441,1
1436,1
1433,1
1430,1
1429,1
1425,2
1424,1
1414,1
1408,1
1407,1
1402,1
1392,2
1388,1
1385,1
1376,1
1373,1
1372,1
1369,1
1365,1
1359,1
1357,1
1351,1
1350,1
1349,1
1347,1
1343,1
1330,1
1322,1
1311,1
1299,1
1293,1
1292,1
1291,1
1290,1
1282,1
1275,2
1271,1
1270,1
1268,1
1266,1
1265,1
1264,2
1257,1
1249,1
1248,1
1242,2
1241,1
1240,1
1236,1
1235,1
1228,1
1227,1
1224,1
1223,1
1222,2
1221,1
1219,1
1218,1
1214,3
1212,1
1210,2
1206,1
1203,1
1202,1
1198,1
1196,1
1193,1
1191,1
1190,1
1186,2
1182,1
1178,1
1177,1
1176,1
1175,1
1171,1
1167,1
1164,1
1163,3
1161,1
1159,1
1158,1
1156,1
1154,1
1153,1
1152,1
1148,1
1145,1
1144,1
1143,2
1141,2
1139,1
1138,1
1137,1
1136,1
1133,1
1132,1
1128,1
1124,3
1123,1
1121,1
1119,1
1117,1
1115,1
1112,1
1111,1
1110,1
1109,1
1107,1
1106,1
1105,1
1102,2
1099,2
1098,2
1096,1
1095,2
1092,1
1091,2
1090,1
1088,2
1086,3
1085,1
1084,1
1082,1
1080,1
1079,2
1078,1
1077,2
1076,1
1074,2
1071,2
1069,2
1067,1
1063,3
1062,1
1059,1
1057,1
1055,1
1054,1
1053,1
1052,2
1051,2
1050,2
1049,4
1048,2
1047,3
1046,1
1045,1
1043,1
1042,1
1041,1
1038,1
1036,1
1035,1
1033,1
1032,1
1031,1
1030,1
1029,1
1026,1
1025,1
1023,1
1022,1
1020,2
1019,1
1018,2
1017,1
1016,2
1015,1
1014,2
1013,2
1011,1
1009,1
1008,1
1006,1
1004,1
1003,1
1001,1
999,3
997,3
996,1
995,3
994,2
993,1
992,1
990,1
988,2
986,2
985,1
984,2
983,1
982,2
980,2
978,2
977,2
975,2
974,1
972,1
970,1
968,1
966,2
965,1
963,1
962,4
961,2
960,1
959,2
958,1
955,1
954,2
